Date,Close/Last,Volume,Open,High,Low
10/20/2025,$67.35,25835160,$69.135,$72.18,$66.675
10/17/2025,$66.27,16892930,$65.89,$68.50,$63.70
10/16/2025,$67.00,23835180,$70.07,$72.25,$66.4249
10/15/2025,$69.27,26290820,$70.02,$73.97,$67.08
10/14/2025,$68.03,27623550,$65.34,$69.67,$62.19
10/13/2025,$65.42,26180260,$67.88,$70.44,$64.6221
10/10/2025,$64.26,40876810,$70.80,$73.50,$64.14
10/09/2025,$66.42,25844500,$64.90,$68.5397,$64.42
10/08/2025,$65.31,36149880,$64.15,$68.5341,$63.65
10/07/2025,$61.51,36545640,$59.01,$62.56,$57.02
10/06/2025,$58.50,31020500,$56.865,$59.26,$55.80
10/03/2025,$56.16,37741860,$52.05,$56.9392,$51.26
10/02/2025,$52.47,35212860,$48.64,$52.65,$48.51
10/01/2025,$47.97,25640220,$47.38,$49.42,$47.12
09/30/2025,$47.91,14856090,$47.21,$47.99,$46.51
09/29/2025,$47.01,16145380,$47.40,$48.10,$46.37
09/26/2025,$46.26,14907050,$47.30,$47.69,$45.83
09/25/2025,$46.63,22418540,$48.00,$48.62,$45.21
09/24/2025,$48.69,30681600,$51.795,$52.48,$48.43
09/23/2025,$52.91,38063990,$49.025,$54.1579,$47.9101
09/22/2025,$49.81,22995860,$47.13,$50.26,$46.80
09/19/2025,$47.79,26870010,$47.68,$48.93,$47.13
09/18/2025,$47.18,19434130,$48.92,$49.19,$47.00
09/17/2025,$48.08,20731040,$47.565,$48.54,$46.45
09/16/2025,$47.245,42608070,$52.00,$52.08,$47.01
09/15/2025,$54.04,23957070,$53.58,$55.17,$52.72
09/12/2025,$53.34,27889790,$48.98,$54.03,$48.6106
09/11/2025,$48.43,22816310,$46.32,$49.665,$46.055
09/10/2025,$46.17,11638480,$47.53,$48.11,$45.60
09/09/2025,$47.03,13243730,$47.01,$47.53,$45.5117
09/08/2025,$47.73,18846410,$45.50,$48.20,$45.488
09/05/2025,$45.84,17361990,$43.565,$45.99,$42.39
09/04/2025,$42.99,17273100,$44.16,$44.58,$42.70
09/03/2025,$43.53,33322330,$50.27,$50.8999,$43.5118
09/02/2025,$49.31,20305190,$46.75,$49.54,$45.68
08/29/2025,$48.60,15897760,$47.85,$48.80,$46.02
08/28/2025,$47.91,16940200,$46.88,$47.975,$45.34
08/27/2025,$46.25,16784740,$48.68,$48.74,$45.82
08/26/2025,$48.13,47698040,$47.73,$50.92,$47.00
08/25/2025,$47.22,30133230,$45.16,$49.59,$44.05
08/22/2025,$44.38,18818250,$40.97,$44.684,$40.4194
08/21/2025,$41.53,14951470,$40.78,$41.87,$40.22
08/20/2025,$40.69,20325040,$40.21,$40.86,$38.26
08/19/2025,$40.92,24104830,$45.10,$45.16,$40.90
08/18/2025,$44.97,21268930,$44.30,$47.08,$44.03
08/15/2025,$44.27,14183120,$42.975,$44.88,$41.75
08/14/2025,$42.81,18472930,$42.76,$45.69,$42.01
08/13/2025,$43.00,14523640,$44.00,$44.70,$42.44
08/12/2025,$43.43,20922200,$45.37,$47.27,$43.42
08/11/2025,$45.02,24893550,$44.65,$46.10,$41.505
08/08/2025,$44.69,39170200,$47.54,$49.92,$43.50
08/07/2025,$44.21,21522060,$44.185,$44.58,$43.10
08/06/2025,$44.10,8051641,$44.71,$45.10,$43.67
08/05/2025,$44.75,10920430,$45.12,$45.38,$43.13
08/04/2025,$44.54,11625060,$45.10,$45.80,$44.0701
08/01/2025,$44.81,16566290,$43.195,$46.17,$42.315
07/31/2025,$45.92,13041470,$46.37,$47.72,$45.43
07/30/2025,$46.44,16853440,$43.86,$46.56,$43.36
07/29/2025,$43.79,14706520,$45.41,$45.51,$42.83
07/28/2025,$45.11,20928730,$47.955,$48.165,$44.41
07/25/2025,$47.43,14517930,$47.90,$48.23,$46.45
07/24/2025,$48.13,12600550,$49.30,$49.62,$47.31
07/23/2025,$49.15,18179910,$47.62,$49.28,$46.93
07/22/2025,$46.88,24381740,$45.99,$47.87,$44.46
07/21/2025,$47.19,29305900,$50.05,$51.58,$46.85
07/18/2025,$51.39,32919640,$50.65,$51.85,$47.91
07/17/2025,$51.33,46760170,$48.70,$53.44,$48.60
07/16/2025,$47.69,26770890,$45.55,$48.07,$44.86
07/15/2025,$44.60,29999720,$43.29,$45.48,$42.8206
07/14/2025,$43.21,29196170,$39.30,$43.47,$38.77
07/11/2025,$39.03,16371480,$38.97,$40.30,$38.60
07/10/2025,$39.10,13663830,$39.17,$39.68,$38.13
07/09/2025,$39.14,16267270,$38.53,$39.43,$37.77
07/08/2025,$38.74,27769370,$38.49,$39.94,$37.98
07/07/2025,$38.88,35564140,$36.98,$39.06,$35.275
07/03/2025,$35.66,7975973,$35.79,$36.21,$35.25
07/02/2025,$35.68,14865570,$34.39,$35.79,$33.73
07/01/2025,$34.33,26656510,$37.015,$38.26,$33.88
06/30/2025,$35.77,18438350,$36.535,$37.95,$35.42
06/27/2025,$35.38,75749290,$36.645,$37.66,$34.83
06/26/2025,$36.14,41601810,$32.41,$37.27,$32.41
06/25/2025,$32.35,22969840,$34.00,$34.50,$31.78
06/24/2025,$33.46,28392640,$33.08,$34.23,$32.43
06/23/2025,$32.78,44056810,$28.925,$32.93,$28.44
06/20/2025,$30.04,37065970,$28.35,$30.11,$27.84
06/18/2025,$27.85,18457720,$26.40,$28.065,$26.23
06/17/2025,$26.42,14498910,$26.10,$27.22,$25.71
06/16/2025,$26.55,13601320,$25.87,$26.58,$25.60
06/13/2025,$25.41,15593940,$25.65,$26.5097,$25.24
06/12/2025,$26.40,12967500,$27.04,$27.41,$26.28
06/11/2025,$27.36,21283360,$27.715,$28.04,$26.89
06/10/2025,$27.17,30798150,$29.57,$29.79,$27.00
06/09/2025,$29.64,60217080,$30.00,$32.70,$28.3548
06/06/2025,$28.92,34136530,$28.16,$29.09,$26.35
06/05/2025,$26.45,28419070,$26.88,$26.96,$25.52
06/04/2025,$26.91,11683040,$26.75,$27.46,$26.1603
06/03/2025,$26.72,12186460,$27.385,$28.00,$26.47
06/02/2025,$26.60,10757150,$26.50,$27.00,$25.81
05/30/2025,$26.79,12706290,$27.015,$27.22,$26.03
05/29/2025,$27.35,16382720,$29.69,$30.03,$27.26
05/28/2025,$28.93,30832460,$29.91,$30.78,$28.5204
05/27/2025,$28.76,21781500,$26.60,$28.76,$26.58
05/23/2025,$25.42,14249930,$25.335,$25.515,$24.67
05/22/2025,$25.82,18681200,$24.75,$26.5684,$23.9203
05/21/2025,$25.17,17081850,$25.655,$26.66,$25.04
05/20/2025,$26.00,18173570,$25.94,$26.3968,$25.34
05/19/2025,$25.80,17316300,$24.30,$25.82,$24.29
05/16/2025,$25.57,24452920,$25.30,$25.7499,$24.9304
05/15/2025,$25.22,27530550,$23.59,$25.23,$22.77
05/14/2025,$24.13,36800890,$21.99,$24.52,$21.86
05/13/2025,$21.83,14950660,$21.68,$22.37,$21.44
05/12/2025,$21.26,15229690,$21.755,$21.80,$20.885
05/09/2025,$20.51,30349720,$22.90,$22.90,$20.2319
05/08/2025,$23.10,15754040,$23.025,$23.20,$22.25
05/07/2025,$22.29,7784717,$22.40,$22.48,$21.845
05/06/2025,$22.37,7751350,$21.915,$22.44,$21.502
05/05/2025,$22.48,8016305,$22.56,$22.925,$22.2601
05/02/2025,$22.99,12728870,$22.38,$23.4199,$22.34
05/01/2025,$22.12,8397374,$22.365,$22.38,$21.70
04/30/2025,$21.79,10400130,$21.20,$22.10,$20.73
04/29/2025,$22.40,6646525,$22.83,$23.00,$22.3001
04/28/2025,$22.67,13139010,$23.20,$23.77,$21.722
04/25/2025,$22.38,13775640,$21.99,$22.56,$21.75
04/24/2025,$21.88,15536370,$20.31,$22.07,$20.0201
04/23/2025,$20.29,17819300,$20.45,$21.40,$20.09
04/22/2025,$19.04,9383879,$18.88,$19.42,$18.5497
04/21/2025,$18.65,9055626,$19.47,$19.72,$18.21
04/17/2025,$19.74,9225420,$20.085,$20.43,$19.42
04/16/2025,$19.975,14733020,$20.30,$20.64,$19.51
04/15/2025,$21.07,30434200,$19.95,$22.10,$19.77
04/14/2025,$19.13,13196840,$20.31,$20.46,$18.66
04/11/2025,$19.63,15484350,$19.56,$19.97,$18.87
04/10/2025,$19.63,16731420,$19.81,$20.74,$18.93
04/09/2025,$20.59,31470410,$17.50,$21.39,$17.20
04/08/2025,$17.18,19958390,$18.537,$19.39,$16.73
04/07/2025,$17.52,23935490,$14.715,$18.24,$14.71
04/04/2025,$16.37,22799680,$17.125,$17.38,$15.00
04/03/2025,$17.89,16592890,$17.77,$18.31,$17.42
04/02/2025,$19.34,15260400,$17.59,$19.75,$17.50
04/01/2025,$18.15,14075280,$17.69,$18.80,$17.11
03/31/2025,$17.88,15132500,$17.89,$18.395,$17.3506
03/28/2025,$18.62,25511880,$19.56,$19.79,$18.43
03/27/2025,$18.42,11754340,$19.05,$19.29,$18.31
03/26/2025,$19.44,12811600,$20.04,$20.345,$19.392
03/25/2025,$20.27,12026530,$20.295,$20.39,$19.61
03/24/2025,$20.21,13807150,$19.445,$20.45,$19.41
03/21/2025,$18.94,16743560,$18.105,$18.98,$17.98
03/20/2025,$18.53,8508991,$18.40,$18.87,$18.16
03/19/2025,$18.78,12096270,$18.30,$19.07,$17.78
03/18/2025,$17.98,9768330,$18.595,$18.595,$17.96
03/17/2025,$19.10,15581580,$19.09,$19.95,$18.85
03/14/2025,$18.81,12008910,$18.095,$18.965,$17.80
03/13/2025,$17.57,10493850,$18.345,$18.52,$17.2907
03/12/2025,$18.43,19095610,$18.92,$19.38,$17.58
03/11/2025,$17.83,15509240,$16.31,$18.14,$16.05
03/10/2025,$17.12,21121960,$18.20,$18.23,$16.47
03/07/2025,$18.80,16108780,$18.29,$19.10,$17.67
03/06/2025,$18.66,18086790,$19.58,$20.27,$18.3701
03/05/2025,$20.40,18412430,$19.115,$20.84,$18.77
03/04/2025,$18.995,25807900,$17.97,$19.95,$17.51
03/03/2025,$18.66,26785150,$21.24,$21.45,$18.40
02/28/2025,$20.49,37550740,$16.36,$20.49,$16.17
02/27/2025,$19.83,23948960,$21.975,$22.16,$19.755
02/26/2025,$21.25,16409890,$21.015,$21.46,$20.50
