Entity,Year,Working hours per worker
Argentina,1972,1999.3278
Argentina,1973,1996
Argentina,1974,1992.8422
Argentina,1975,1989.6893
Argentina,1976,1986.5415
Argentina,1977,1983.3987
Argentina,1978,1980.2609
Argentina,1979,1977.1279
Argentina,1980,1974
Argentina,1981,1961.2301
Argentina,1982,1948.5427
Argentina,1983,1935.9375
Argentina,1984,1923.4137
Argentina,1985,1910.9711
Argentina,1986,1898.6089
Argentina,1987,1886.3267
Argentina,1988,1874.1238
Argentina,1989,1862
Argentina,1990,1850
Argentina,1991,1837.9608
Argentina,1992,1826
Argentina,1993,1850.3378
Argentina,1994,1875
Argentina,1995,1881.9612
Argentina,1996,1888.9481
Argentina,1997,1895.961
Argentina,1998,1903
Argentina,1999,1887.285
Argentina,2000,1862.1362
Argentina,2001,1811.1526
Argentina,2002,1710.0365
Argentina,2003,1713.5746
Argentina,2004,1743.3999
Argentina,2005,1771.6785
Argentina,2006,1775.9203
Argentina,2007,1787.5447
Argentina,2008,1789.765
Argentina,2009,1751.6228
Argentina,2010,1760.2247
Argentina,2011,1760.2303
Argentina,2012,1736.1034
Argentina,2013,1725.8735
Argentina,2014,1705.4283
Argentina,2015,1703.4685
Argentina,2016,1646.5126
Argentina,2017,1648.8129
Argentina,2018,1638.4401
Argentina,2019,1609.069
Australia,1870,2792
Australia,1880,2647
Australia,1890,2501
Australia,1900,2385
Australia,1913,2214
Australia,1929,2186
Australia,1938,2109
Australia,1950,2170.9233
Australia,1951,2150.847
Australia,1952,2130.956
Australia,1953,2111.2493
Australia,1954,2091.7246
Australia,1955,2072.3806
Australia,1956,2053.2153
Australia,1957,2034.2275
Australia,1958,2015.4152
Australia,1959,1996.7769
Australia,1960,1978.3108
Australia,1961,1974.6611
Australia,1962,1971.0183
Australia,1963,1967.3821
Australia,1964,1963.7526
Australia,1965,1960.1299
Australia,1966,1956.5138
Australia,1967,1952.9043
Australia,1968,1949.3015
Australia,1969,1945.7054
Australia,1970,1942.116
Australia,1971,1923.4795
Australia,1972,1903.1487
Australia,1973,1889.8066
Australia,1974,1907.0665
Australia,1975,1893.8304
Australia,1976,1904.2075
Australia,1977,1906.0077
Australia,1978,1906.8549
Australia,1979,1912.2551
